Review #,Brand,Variety,Style,Country,Stars,Top Ten
2503,Sichuan Guangyou,Sweet Potato Instant Noodle Sout-Hot Flavor,Bowl,China,0,NA
2502,Indomie,Onion Chicken Flavor,Pack,Nigeria,1.5,NA
2501,Happy Cook,Toona Paste Noodle,Pack,Taiwan,4,NA
2500,The Ramen Rater Select,Supreme Creamy Tom Yum Noodle,Box,Malaysia,5,NA
2499,KOKA,Creamy Soup With Crushed Noodles Chicken Flavor,Cup,Singapore,5,NA
2498,Nissin,Demae Ramen Spicy Beef,Pack,Germany,3.75,NA
2497,Nissin,Cup Noodles Spicy,Cup,Germany,3.75,NA
2496,Nissin,Soba Thai,Pack,Germany,4.5,NA
2495,Nissin,Cup Noodles Huhn (Chicken),Cup,Germany,3.75,NA
2494,Nissin,Demae Ramen Korean Kimchi,Pack,Germany,3.5,NA
2493,Nissin,Cup Noodles Curry,Cup,Germany,3.75,NA
2492,Nissin,Smack Chili,Pack,Hungary,3.75,NA
2491,Nissin,Soba Yakitori Chicken,Cup,Germany,5,NA
2490,Nissin,Demae Ramen Garlic Chicken,Pack,Germany,3.5,NA
2489,Nissin,Cup Noodles Ente (Duck),Cup,Germany,3,NA
2488,Nissin,Demae Ramen Thai Tom Yum,Pack,Germany,3.75,NA
2487,Nissin,Soba Sukiyaki Beef,Cup,Germany,4.5,NA
2486,Nissin,Demae Ramen Spicy,Pack,Germany,3.5,NA
2485,Nissin,Cup Noodles Shrimps,Cup,Germany,3,NA
2484,Nissin,Demae Ramen Tokyo Soy Sauce,Pack,Germany,4,NA
2483,Paldo,Bul Jjamppong,Bowl,South Korea,5,NA
2482,TTL,Chicken With Chinese Shaoxing Wine,Pack,Taiwan,4.75,NA
2481,Samyang Foods,Buldak Bokkeummyun,Cup,South Korea,3.75,NA
2480,Acecook,Pork Wantan Men,Bowl,Japan,4.25,NA
2479,E-Zee,Instant Noodles Chicken Flavour,Pack,Malaysia,4,NA
2478,Kiki Noodle,Scallion Oil & Soy Sauce Noodle,Pack,Taiwan,5,NA
2477,Kiki Noodle,Sichuan Spices Flavor Noodle,Pack,Taiwan,5,NA
2476,Samyang Foods,Kimchi Stew Ramyun,Bowl,South Korea,4,NA
2475,Maruchan,Seimen Red Spicy Dandan Men,Bowl,Japan,4.75,NA
2474,Ottogi,Ppushu Ppushu Noodle Snack Chilli Cheese Flavor,Pack,South Korea,4.25,NA
2473,Tokyo Noodle,Mini Instant Noodle Mild Curry Flavor,Pack,Japan,2,NA
2472,GGE,Noodle Snack Wheat Cracks Seaweed Flavor,Pack,Taiwan,3.5,NA
2471,Nissin,Cup Noodles Mini Seafood Flavour,Cup,Hong Kong,5,NA
2470,Myojo,Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor,Pack,USA,3.75,NA
2469,KOKA,Signature Curry Flavor Instant Noodles,Cup,Singapore,3.5,NA
2468,Acecook,Dossari Yasai Chanpon,Cup,Japan,4.25,NA
2467,Paldo,Volcano Curry Kkokkomyun,Pack,South Korea,3.5,NA
2466,Sau Tao,Instant Noodle King Pepper Duck Flavour Soup,Pack,Hong Kong,4,NA
2465,Nissin,Cup Noodles XO Sauce Seafood,Cup,China,3.75,NA
2464,Wang,Extreme Spicy Hot Chicken Flavor Udon,Bowl,South Korea,2,NA
2463,Nissin,Gekikara Ramen Rasa Pedas,Pack,Indonesia,3.25,NA
2462,TTL,Sesame Oil Chicken Noodle With Rice Wine,Bowl,Taiwan,5,NA
2461,Fujiwara,Hokkaido Hakodate Shio Ramen,Pack,Japan,4.5,NA
2460,Daifuku,Katsuo Bowl Udon,Bowl,USA,5,NA
2459,Nissin,Cup Noodles MUG Shoyu & Seafood,Pack,Japan,3.5,NA
2458,Samyang Foods,Sari Ramen,Pack,South Korea,Unrated,NA
2457,KOKA,Instant Noodles Chicken Satay Flavour,Pack,Singapore,3.5,NA
2456,KOKA,Signature Spicy Singapore Fried Noodles Instant Noodles,Pack,Singapore,4.25,NA
2455,KOKA,Creamy Soup With Crushed Noodles Sweet Corn Flavor,Cup,Singapore,5,NA
2454,KOKA,Silk Beef Pho Flavor Instant Rice Fettuccine,Bowl,Singapore,3.25,NA
2453,KOKA,Delight Spicy Sesame Flavor Instant Non-Fried Noodles,Pack,Singapore,4.5,NA
2452,KOKA,Signature Laksa Singapura Instant Noodles,Bowl,Singapore,5,NA
2451,KOKA,Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles,Pack,Singapore,5,NA
2450,KOKA,Purple Wheat Noodles Chili & Lime Flavor,Pack,Singapore,4,NA
2449,KOKA,Delight Tomato Flavor Instant Non-Fried Noodles,Pack,Singapore,5,NA
2448,KOKA,Seafood Flavor Instant Noodles,Cup,Singapore,3.5,NA
2447,KOKA,Signature Stir-Fry Original Flavor Instant Noodles,Pack,Singapore,3,NA
2446,KOKA,Creamy Soup Witrh Crushed Noodles Curry Flavor,Cup,Singapore,5,NA
2445,KOKA,Delight Laksa Singapura Flavor Instant Non-Fried Noodles,Pack,Singapore,4.25,NA
2444,KOKA,Silk Spicy Marinara Instant Rice Fettuccine,Bowl,Singapore,5,NA
2443,KOKA,Signature Chicken Flavor Instant Noodles,Cup,Singapore,3.75,NA
2442,Nissin,Cup Noodles Sopa Nissin Hot Sauce Con Camaron,Cup,Mexico,3.5,NA
2441,MyKuali,Penang Hokkien Prawn Flavor Noodle,Box,Japan,5,NA
2440,Master Kong,Roasted Pork Noodle,Pack,China,4.5,NA
2439,Uni-President,Man Han Feast Super Hot Pot Beef Flavor Instant Noodles,Bowl,Taiwan,5,NA
2438,World O' Noodle,Mi Goreng Original Flavour Fried Noodles,Pack,Indonesia,5,NA
2437,Nissin,Raoh Nojyuku Toro Tonkotsu Ramen,Bowl,Japan,4.5,NA
2436,Kang Shi Fu,Artificial Dongpo's Braised Pork Flavour,Pack,Hong Kong,4.75,NA
2435,Mum Ngon,Lau Tom Chua Cay,Pack,Vietnam,3.5,NA
2434,Happy Cook,Old Beijing Fried Bean Sauce Noodle,Pack,Taiwan,4.25,NA
2433,Nissin,Cup Noodles Indonesia Mie Goreng,Cup,Japan,3.75,NA
2432,Fashion Food,Yummy Spicy Rice Soup With Seafood,Bowl,Thailand,3.5,NA
2431,Dream Kitchen,Udon Japanese Style Fresh Noodle,Bowl,USA,3.75,NA
2430,MyKuali,MeeKuali Bihun Sup Rempah Perisa Daging,Pack,Malaysia,5,NA
2429,New Touch,T's Restaurant Sura Tanmen,Cup,Japan,4,NA
2428,TTL,Sesame Oil Chicken With Rice Wine Noodle,Bowl,Taiwan,5,NA
2427,Ajinatori,HALAL Chicken Shoyu Sauce Ramen,Pack,Japan,2.5,NA
2426,Dr. McDougall's,Vegan Pad Thai Noodle Soup,Cup,USA,0,NA
2425,Nissin,Seafood Flavour Rice Vermicelli,Cup,Hong Kong,5,NA
2424,Samyang Foods,Cheese Type Buldak Bokkeummyun (Black Pkg),Pack,South Korea,3.75,NA
2423,Ve Wong,Kung-Fu Instant Oriental Noodles Soup Artificial Onion Flavor,Pack,Taiwan,3.5,NA
2422,Nissin,Cup Noodles Sopa Nissin Con Camaron Picante,Cup,Mexico,3.25,NA
2421,Uni-President,Baseball Snack Noodle,Pack,Taiwan,5,NA
2420,Nissin,Cup Noodles Spicy Seafood Flavor,Cup,China,3.75,NA
2419,MyKuali,Penang Red Tom Yum Goong,Box,Japan,5,NA
2418,Myojo,Yomise No Yakisoba Karashi Mentaiko Flavor,Tray,Japan,4.5,NA
2417,Super Bihun,Bihun Kuah Rasa Baso Sapi,Pack,Indonesia,3.75,NA
2416,Xiuhe,Hot & Sour Beef Noodles,Bowl,China,4.25,NA
2415,Nissin,Kitsune Udon Donbei (West),Bowl,Japan,5,NA
2414,Little Cook,Thailand Green Curry Instant Noodle,Bowl,Taiwan,5,NA
2413,Nissin,Cup Noodles Beef Flavour,Cup,Hong Kong,2.5,NA
2412,Shirakiku,Sanukiya Udon Shrimp Flavor,Pack,USA,3.25,NA
2411,Mama Pat's,Chicken Fajita Flavor Instant Ramen Noodles,Pack,USA,3.75,NA
2410,Mama Pat's,Lamb Stew Flavor Instant Ramen Noodles,Pack,USA,3.75,NA
2409,Mama Pat's,Seafood Gumbo Flavor Instant Ramen Noodles,Pack,USA,3.5,NA
2408,Mama Pat's,Chicken Taco Flavor Instant Ramen Noodles,Pack,USA,3.75,NA
2407,Just Way,Chuan Wei Spicy Guan-miao Noodles,Pack,Taiwan,4.5,NA
2406,Sichuan Guangyou,Sweet Potato Instant Noodle Braised Spicy Chitterling Flavor,Pack,China,0.25,NA
2405,Nissin,Cup Noodles Mini Spicy Seafood,Cup,Hong Kong,4,NA
2404,MyKuali,Penang Hokkien Prawn Noodle Soup,Pack,Singapore,5,NA
2403,Goku-Uma,Yakisoba Japanese Style Noodle,Bowl,USA,4.75,NA
2402,Maggi,Nutri-licious Pazzta Tomato Twist,Pack,India,3.75,NA
2401,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Bowl,China,5,NA
2400,Nissin,Cup Noodles Tom Yam Seafood Flavour,Cup,Singapore,5,NA
2399,Indomie,My Noodles Mi Goreng Pizza Cheese,Pack,Indonesia,4,NA
2398,Liang Cheng Mai,Shaanxi Cold Noodle: Mustard Spicy,Tray,China,1,NA
2397,Samyang Foods,Cheese Buldak Bokkeummyun (Black),Bowl,South Korea,4,NA
2396,Maggi,2 Minute Noodles Chicken Flavour,Pack,Fiji,3.25,NA
2395,Master Kong,Chicken Flavor Instant Noolde,Pack,China,4.25,NA
2394,Nissin,Cup Noodles Prawn Flavour,Cup,Hong Kong,3.75,NA
2393,Ripe'n'Dry,Hokkaido Miso Ramen,Pack,Japan,3,NA
2392,MyKuali,Penang Red Tom Yum Goong Rice Vermicelli Soup,Bowl,Malaysia,5,NA
2391,Ottogi,Jin Jjambbong Spicy Seafood Ramyun,Pack,South Korea,5,NA
2390,Nissin,Rice Vermicelli Pickled Vegetable Pork Flavour,Cup,Hong Kong,3.75,NA
2389,Gefen,Imitation Chicken Flavor,Cup,USA,4,NA
2388,Hua Feng,Three Fresh Delicacies Instant Noodle,Pack,China,4.25,NA
2387,Nissin,Demae Iccho Sesame Oil Flavour Instant Noodle,Bowl,Hong Kong,3.5,NA
2386,Maggi,2 Minute Noodles Curry Flavour,Pack,Fiji,4,NA
2385,Uni-President,Man Han Feast Chilli Beef Flavor Instant Noodles,Bowl,Taiwan,4.75,NA
2384,Sichuan Guangyou,9999 Chongqing Artificial Beef Flavor Instant Noodle,Pack,China,4.25,NA
2383,Nissin,Cup Noodles Beef Flavor Ramen Noodle Soup (New Recipe),Cup,USA,3.5,NA
2382,Nongshim,Seaweed Instant Noodle,Cup,South Korea,0.5,NA
2381,Nissin,Demae Iccho Seafood Flavour Instant Noodle,Cup,Hong Kong,4.75,NA
2380,Pulmuone,Non-Fried Ramyun With Spicy Beef Broth,Pack,South Korea,3.75,NA
2379,Nissin,Cup Noodles Hot & Spicy Shrimp Flavor Ramen Noodle Soup (New Recipe),Cup,USA,2.5,NA
2378,Sau Tao,Non-Fried Mix Noodle Black Pepper XO Sauce Flavoured,Pack,Hong Kong,4.5,NA
2377,MyKuali,Penang White Curry Instant Noodle (Japan Version),Box,Malaysia,5,NA
2376,Nissin,Disney Cuties Instant Chicken With Corn Flavour,Cup,Thailand,3.25,NA
2375,Uni-President,Man Han Feast Braised Pork Flavor Instant Noodles,Bowl,Taiwan,5,NA
2374,World O' Noodle,Mi Goreng Garlic Flavour Fried Noodles,Pack,Indonesia,4.5,NA
2373,Nissin,Top Ramen Atta Nooldes Masala,Pack,India,4.5,NA
2372,Liu Quan,Instant Spicy Rice Noodle,Bowl,China,4,NA
2371,Daikoku,Tanuki Soba,Cup,Japan,3.5,NA
2370,Samyang Foods,Zzaldduck Buldak Bokkeummyun Snack,Pack,South Korea,4.5,NA
2369,Samyang Foods,Curry Buldak Bokkeummyun,Pack,South Korea,4.25,NA
2368,Samyang Foods,Cool/Ice Buldak Bokkeummyun,Pack,South Korea,3.75,NA
2367,Samyang Foods,2x Spicy Haek Buldak Bokkeummyun,Pack,South Korea,4,NA
2366,Samyang Foods,Buldak Bokkeummyun Snack,Pack,South Korea,5,NA
2365,Samyang Foods,Stew Buldak Bokkeumtangmyun,Pack,South Korea,5,NA
2364,Samyang Foods,Cheese Buldak Bokkeummyun,Pack,South Korea,4,NA
2363,Samyang Foods,Buldak Bokkeummyun (New Packaging),Pack,South Korea,4,NA
2362,Chuan Wei Wang,Bowl Instant Noodles Artificial Spicy Beef Flavor,Bowl,China,4,NA
2361,Nissin,Demae Iccho Chicken Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,NA
2360,Wai Wai,Instant Noodles Artificial Chicken Flavoured,Pack,India,2,NA
2359,Daikoku,Kitsune Udon,Cup,Japan,2,NA
2358,Sichuan Baijia,Pickled Cabbage Flavor Instant Vermicelli,Bowl,China,4,NA
2357,Kamfen,Noodle King Artificial Wonton Soup Flavored,Bowl,Hong Kong,5,NA
2356,Nongshim,Spicy Shrimp Cup Noodle,Cup,South Korea,4,NA
2355,Marutai,Nagasaki Agodashi Shoyu Ramen,Pack,Japan,4,NA
2354,Vifon,Viet Cuisine Bun Rieu Cua Sour Crab Soup Instant Rice Vermicelli,Bowl,Vietnam,5,NA
2353,Nissin,"Cup Noodles Rich Garlic, Egg Yolk & Oxtail",Cup,Japan,4,NA
2352,Uni-President,Minced Pork Flavor Instant Noodles,Pack,Taiwan,1,NA
2351,1 To 3 Noodles,Chatpat Masala,Pack,India,4,NA
2350,Nissin,Cup Noodles BIG XO Sauce Seafood Flavour,Cup,Hong Kong,4,NA
2349,Fantastic,Noodles Chicken & Corn Flavour,Cup,Australia,3,NA
2348,Ripe'n'Dry,Hokkaido Salt Ramen,Pack,Japan,3,NA
2347,Nissin,Demae Iccho Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,3,NA
2346,Knorr,Chatt Patta Instant Noodles,Pack,Pakistan,1,NA
2345,Sempio,Clam Flavor Soup Kal-guksu,Pack,South Korea,5,NA
2344,Nissin,Cup Noodles Sopa Nissin Sabor A Pollo,Cup,Mexico,4,NA
2343,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Jugo De Carne,Cup,Mexico,4,NA
2342,Nissin,Sopa Nissin Sabor A Camaron Sopa Instantanea Tipo Ramen,Pack,Mexico,4,NA
2341,Nissin,Cup Noodles Sopa Nissin Sabor A Carne De Res,Cup,Mexico,4,NA
2340,Nissin,RapiFideo Sabor A Tomate Y Pollo,Cup,Mexico,4,NA
2339,Nissin,"Cup Noodles Sopa Nissin Sabor Camaron, Habanero Y Limon",Cup,Mexico,3,NA
2338,Nissin,Sopa Nissin Sabor A Pollo Sopa Instantanea Tipo Ramen,Pack,Mexico,4,NA
2337,Nissin,Cup Noodles Sopa Nissin Con Camaron,Cup,Mexico,3,NA
2336,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Camaron Picante,Cup,Mexico,3,NA
2335,Nissin,Cup Noodles Gourmet Sabor A Caldo De Camaron,Cup,Mexico,5,NA
2334,Nissin,"Sopa Nissin Sabor Mariscos, Habanero Y Limon",Cup,Mexico,4,NA
2333,Nissin,Maxi Sopa Nissin Cuchareable Sabor A Pollo,Cup,Mexico,4,NA
2332,Nissin,Sopa Nissin Sabor A Res Instantanea Tipo Ramen,Pack,Mexico,4,NA
2331,Nissin,Cup Noodles Sopa Nissin Hot Sauce Sabor A Pollo,Cup,Mexico,4,NA
2330,Ve Wong,Little Prince(ss) Brand Snack Noodles Artificial Mexican Pizza Flavor,Pack,Taiwan,4,NA
2329,Patanjali,Atta Noodles Jhatpat Banao Befikr Khao,Pack,India,5,NA
2328,Qin Zong,Shaanxi Cold Noot Hot & Sour Flavor,Pack,China,3,NA
2327,Nissin,Cup Noodles Spicy Lime Flavor Ramen Noodle Soup (New Recipe),Cup,USA,4,NA
2326,Nissin,Demae Iccho Tokyo Shoru Tonkotsu Instant Noodle,Cup,Hong Kong,4,NA
2325,Pran,Mr. Noodles Curry Flavor Instant Noodles,Pack,Bangladesh,4,NA
2324,Paldo,Bul Jjajangmyeon,Pack,South Korea,5,NA
2323,Ogasawara,Kirin Giraffe Shio Ramen,Pack,Japan,5,NA
2322,Sapporo Ichiban,Mie Kamayama Ramen Gyukotsu Misoaji,Bowl,Japan,3,NA
2321,Sau Tao,Black Pepper XO Sauce Flavour,Bowl,Hong Kong,5,NA
2320,Nissin,Nupasta Bolognese Flavour Instant Noodle,Cup,Japan,4.00,NA
2319,Nongshim,Saeutang Sabalmyeon,Bowl,South Korea,3.5,NA
2318,Happy Cook,Sichuan Spicy Flavor,Pack,Taiwan,5.0,NA
2317,MAMA,Instant Bowl Noodles Shrimp (Tom Yum) Flavor Base,Bowl,Thailand,4,NA
2316,Nissin,Cup Noodle Spicy Curry Chicken,Cup,Japan,5,NA
2315,Goku-Uma,Ramen Noodles Miso Flavor,Bowl,USA,3,NA
2314,Nissin,Cup Noodles Spicy Beef Flavour,Cup,Hong Kong,4.00,NA
2313,Xiao Ban Mian,Sesame Oil With Garlic Flavor Thin Noodle,Pack,Taiwan,3.50,NA
2312,Xiao Ban Mian,Traditional Shallot & Onion Oil Noodle,Pack,Taiwan,5,NA
2311,Xiao Ban Mian,Sesame Sauce Matcha Noodle,Pack,Taiwan,3.8,NA
2310,Pran,Mr. Noodles Instant Noodles Beef Flavour,Pack,Bangladesh,4,NA
2309,Nissin,Cup Noodles Big Seafood Flavour,Cup,Hong Kong,4,NA
2308,Fantastic,Noodles Chicken Chow Mein Flavour,Cup,Australia,4,NA
2307,Ottogi,Ramyun Sabor Pollo,Pack,Mexico,4.00,NA
2306,Nissin,Demae Iccho Black Garlic Oil Tonkotsu Flavour Instant Noodles,Cup,Hong Kong,4.00,NA
2305,Ajinatori,Chicken Flavor Ramen,Pack,Japan,4,NA
2304,Maggi,2 Minute Noodles Masala Spicy,Pack,India,5,NA
2303,Maruchan,Sopa Maruchan Sobar A Camaron,Pack,Mexico,3,NA
2302,Nissin,Yakisoba,Tray,Japan,5,NA
2301,Suimin,Noodle With Oriental Chicken Flavour,Cup,Australia,3,NA
2300,Nissin,Demae Ramen Spicy Xo Sauce Seafood Flavour Instant Noodle,Pack,Hong Kong,4,NA
2299,Cintan,Mi Segera Mmm... Original,Pack,Malaysia,3,NA
2298,Nissin,Cup Noodles Spicy Chile Chicken (New Recipe),Cup,USA,4,NA
2297,Chuan Wei Wang,Bowl Instant Noodles Artificial Beef With Sauerkraut Flavor,Bowl,China,3,NA
2296,Suimin,Noodles With Chicken Flavour,Cup,Australia,3,NA
2295,Nissin,Cup Noodles Seafood,Cup,China,4,NA
2294,Sapporo Ichiban,Tabimen AizuKitakata Gyokai Shoyu Ramen,Bowl,Japan,4,NA
2293,Nissin,Nupasta Bacon In Carbonara Sauce Flavour Instant Noodle,Pack,Hong Kong,5,NA
2292,Sichuan Baijia,Chongqing Noodles Spicy Hot Flavor,Pack,China,5,NA
2291,Samyang Foods,Buldak Bokkummyun Cheese Flavor,Pack,South Korea,4,NA
2290,Nissin,Demae Ramen Straight Noodle Black Garlic Oil Tonkotsu Flavour Instant Noodle,Pack,Hong Kong,5,NA
2289,Myojo,Shin Toyama Black Ramen,Bowl,Japan,4,NA
2288,Nissin,Cup Noodles Tom Yum Goong Flavour,Cup,Hong Kong,4,NA
2287,Master Kong,Artificial Abalone Crab Flavor Instant Noodle,Pack,China,0,NA
2286,Kamfen,Noodle King Artificial Abalone And Chicken Soup Flavored,Bowl,Hong Kong,4,NA
2285,Fantastic,Noodles Beef Flavour,Cup,Australia,3,NA
2284,Nissin,Korean Kimchi Flavour Vermicelli,Cup,Hong Kong,4,NA
2283,Nissin,Raoh Pork Bone Soy Soup Noodle,Pack,Japan,5,NA
2282,Samyang Foods,Gold Jjamppong Fried Noodle,Pack,South Korea,5,NA
2281,Nissin,Demae Iccho Red Hot Seafood Flavour Instant Noodle,Cup,Hong Kong,4,NA
2280,Sichuan Baijia,Chongqing Noodles Hot & Sour Flavor,Pack,China,4,NA
2279,Nissin,Demae Iccho Spicy Tonkotsu Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,5,NA
2278,Nissin,Raoh Tantanmen,Pack,Japan,5,NA
2277,Goku-Uma,Ramen Noodles Soy Sauce Flavor,Bowl,USA,3,NA
2276,Nissin,Cup Noodles With Shrimp Ramen Noodle Soup (New Recipe),Cup,USA,3,NA
2275,JML,Hot & Sour Beef Noodles,Pack,China,4,NA
2274,Suimin,Noodles With Braised Beef Flavour,Cup,Australia,4,NA
2273,Uni-President,A Q Bucket Noodle Korean Kimchi Flavor,Bowl,Taiwan,4,NA
2272,Nissin,Demae Iccho Spicy Kimchi Pot Flavour Instant Noodle (Bowl Noodle),Bowl,Hong Kong,4,NA
2271,Sichuan Baijia,Chongqing Noodles Burning Dry Noodles,Pack,China,5,NA
2270,Samyang Foods,Fresh Bibimmyun Fried Noodle,Pack,South Korea,4,NA
2269,Wai Wai,Instant Noodles Veg Masala Flavour,Pack,India,4,NA
2268,Nissin,Nupasta Neapolitan Flavour Instant Noodle,Pack,Hong Kong,5,NA
